mfcc_mean_0,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_std_0,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,chroma_0,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_bandwidth_mean,zcr_mean,tempo,rms_mean,filename,genre
-65.94932,89.54569,-0.6733762,31.066252,2.6615188,16.511658,4.6717577,10.154959,3.1161838,6.1412396,0.51344126,4.4924765,-1.60603,38.71924,19.166008,17.824677,12.448856,14.672788,11.106648,10.8943615,8.741886,9.665527,8.52817,9.657482,9.024835,10.04811,0.32995072,0.3405666,0.3937022,0.2635745,0.34499708,0.29125357,0.42777085,0.32204616,0.3199769,0.46935233,0.43476778,0.46203938,2143.116337764465,518.8804299584184,4757.304566563467,2425.977524609224,0.0846117332623839,92.28515625,0.20239665,folklore_00.wav,folklore
-153.30087,108.37705,17.613201,30.344246,4.5518446,7.861881,-15.857582,4.8939514,-17.250063,-3.4418476,-14.243104,-9.488201,-13.77026,54.577152,27.751476,17.96701,12.7794285,13.395309,11.672554,11.715448,12.324606,12.994678,12.623639,9.772098,9.0552225,8.785295,0.23628494,0.13913262,0.10637204,0.26791286,0.4272458,0.16131052,0.155643,0.18817005,0.41019127,0.41671464,0.33890343,0.56609726,1701.2494810937008,707.8340618803518,3758.127275118518,2229.177905319442,0.05248418754837461,161.4990234375,0.14775094,folklore_01.wav,folklore
-43.94885,86.87712,8.269235,31.142702,7.5307345,8.210877,-7.3175316,5.1400776,-7.902924,3.9321096,-1.7105832,-0.8052563,-4.5494576,50.36636,27.520449,16.054373,14.238815,14.554711,10.460043,11.36959,8.619992,9.690328,8.203952,8.487891,6.255027,6.5051303,0.403402,0.40569812,0.45006582,0.3181081,0.37104458,0.354087,0.42985767,0.34121653,0.27284193,0.29177088,0.4088669,0.5378475,2271.517554811421,795.9585328357751,5085.269250072562,2541.0830125582493,0.08858638798858359,107.666015625,0.25537294,folklore_02.wav,folklore
-129.45721,135.04816,-10.625225,33.609364,5.6013017,4.595016,5.2839756,6.1150665,-6.601933,3.942589,-8.469095,1.8654124,-4.0526915,46.16934,24.839508,16.685585,15.474434,13.731522,10.659041,10.734528,10.428536,12.151566,9.645134,8.927556,9.418461,8.729534,0.3887963,0.19968112,0.26341125,0.24917154,0.43680528,0.3253152,0.20458432,0.28884488,0.28004962,0.35996437,0.2621022,0.39751607,1430.8641009050018,448.3677225166178,2953.0654765504064,1780.701760082061,0.0639024858504257,117.45383522727273,0.17243198,folklore_03.wav,folklore
-76.35366,106.162415,-11.550798,34.485386,6.6259365,11.940628,-2.72561,6.5377564,-1.9456345,5.5915627,1.001318,1.3562881,-5.4820333,57.145245,34.859184,16.883633,12.719536,12.705346,11.153429,11.271035,8.005162,11.505831,7.1376657,9.243554,6.8520656,6.4716372,0.48087308,0.35621616,0.38795665,0.3767579,0.49959302,0.35972008,0.29956743,0.38540146,0.3999613,0.43829453,0.37608412,0.49375728,2004.0750786792553,747.5063932911476,4299.732333440161,2207.9215499544416,0.08909961239841331,99.38401442307692,0.16338995,folklore_04.wav,folklore
-127.44009,99.55794,-4.0089183,34.7202,8.660612,10.31285,-0.6993694,1.8300194,-9.915245,3.3546162,-2.0604906,8.132492,1.501808,57.82343,26.421938,17.75873,13.70354,15.494218,14.7923765,13.739668,10.519558,10.355089,10.643153,12.6135435,9.30902,11.126133,0.4209881,0.5459268,0.34297207,0.4272246,0.35261348,0.44310167,0.26413503,0.2857143,0.25400582,0.2393,0.28484738,0.2222152,1886.1153515438173,600.9761705162285,3852.9767015770126,2144.7602978878367,0.09186641350619196,103.359375,0.1454414,folklore_05.wav,folklore
-126.451866,115.51652,-7.112549,35.083946,8.729545,12.859127,0.7848834,13.307925,-16.436167,8.842987,1.2905691,3.387266,3.0948553,62.757523,28.67446,20.580587,16.107992,23.34777,13.485366,14.884075,11.504359,12.00063,13.117401,9.611062,7.6582556,8.259802,0.41405174,0.36076868,0.3651058,0.36313468,0.51093405,0.34724352,0.2803439,0.32941717,0.31210542,0.35244632,0.3112719,0.32189143,1703.3448421409319,519.4636569636633,3531.078648050503,2004.4759652564733,0.07563862047697369,103.359375,0.15254033,folklore_06.wav,folklore
-167.70334,114.59259,2.1995344,29.202024,14.21641,-2.561205,0.0038892434,3.712091,-19.836401,-0.5233461,-3.2855432,-0.08022079,-9.434139,57.57275,27.834705,17.337807,13.142396,17.71759,18.368092,12.830132,13.597022,12.703492,9.957742,12.500675,8.470699,8.492977,0.29252365,0.35006282,0.23253974,0.30262545,0.37883103,0.37483406,0.4025919,0.31536862,0.44260606,0.38693288,0.27546266,0.3226054,1680.1024898308576,603.01489061774,3426.6459462074304,2126.7407145281923,0.06665454781830496,123.046875,0.10817081,folklore_07.wav,folklore
-150.54117,110.79841,1.3207947,36.78225,21.103228,14.299856,5.253226,9.699713,-5.302449,3.2815568,1.988375,-0.7108226,-5.2453547,67.12368,36.57147,16.350275,14.077428,12.209755,10.350093,12.647653,10.816283,10.246031,11.124423,12.059589,9.947306,8.18364,0.36861017,0.25930429,0.23102544,0.29596272,0.38215578,0.29954585,0.4091479,0.4554115,0.37836847,0.46253505,0.3527322,0.40113926,1682.4342350663758,819.1122087395028,3551.545190958785,2094.2397544373907,0.06667760134481424,123.046875,0.14106694,folklore_08.wav,folklore
-130.53691,110.6302,-17.574587,42.492954,11.498275,6.338105,-3.0022883,4.40117,1.1085653,-3.243551,4.2263813,5.4609337,-12.771908,52.979073,27.619066,20.835657,16.502447,16.431828,11.5884,11.980804,10.628323,11.272801,12.189293,16.48522,10.505829,15.918496,0.20966643,0.32878312,0.34952542,0.19380116,0.22774857,0.29767534,0.57777506,0.32344833,0.19302931,0.21427315,0.2494984,0.32401866,1756.4031753744857,555.1367985462552,3359.4463525541796,1883.2473590632226,0.09469557251354489,107.666015625,0.16415443,folklore_09.wav,folklore
